Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Benedict Hollerbach,In,No,22,Germany,Centre-Forward,"1,200,000",Wehen Wiesbaden,"2. Bundesliga, German",Europe,Germany,Second Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,,2000000,361
Benedikt Gimber,In,No,26,Germany,Defensive Midfield,"1,500,000",Jahn Regensburg,"3. Liga, German",Europe,Germany,Third Tier,Heidenheim,"Bundesliga, German",Top,Germany,First Tier,,0,362
Béni Makouana,Out,No,20,Congo,Left Winger,"600,000",Montpellier,"Ligue 1, France",Top,France,First Tier,FK Polissya,"Premier Liga, Ukraine",Europe,Ukraine,First Tier,,250000,363
Bénie Traoré,In,No,20,Cote d'Ivoire,Centre-Forward,"4,000,000",Häcken,"Allsvenskan, Sweden",Europe,Sweden,First Tier,Sheff Utd,"Premier League, England",Top,England,First Tier,,4600000,364
Benjamin Leneis,Out,No,24,Germany,Goalkeeper,"75,000",FC Augsburg,"Bundesliga, German",Top,Germany,First Tier,FSV Zwickau,"Regionalliga Northeast, German",Europe,German,Fourth Tier,,0,365
Benjamin Mendy,Inside,No,29,France,Left-Back,"3,000,000",Man City,"Premier League, England",Top,England,First Tier,FC Lorient,"Ligue 1, France",Top,France,First Tier,,0,366
Benjamin Pavard,Inside,No,27,France,Centre-Back,"40,000,000",Bayern Munich,"Bundesliga, German",Top,Germany,First Tier,Inter,"Serie A, Italy",Top,Italy,First Tier,,30000000,367
Benjamin Sesko,In,No,20,Slovenia,Centre-Forward,"24,000,000",RB Salzburg,"Bundesliga, Austria",Europe,Austria,First Tier,RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,,24000000,368
Benjamin Tahirovic,Out,No,20,Bosnia-Herzegovina,Defensive Midfield,"1,500,000",AS Roma,"Serie A, Italy",Top,Italy,First Tier,Ajax,"Eredivisie, Netherlands",Europe,Netherlands,First Tier,,7500000,369
Benjamin Tetteh,In,No,26,Ghana,Centre-Forward,"1,500,000",Hull City,"Championship, England",Europe,France,Second Tier,FC Metz,"Ligue 1, France",Top,France,First Tier,,1800000,370
